Title,Price,Area,Link
"3 BHK Flat for Sale in The Aqua Retreat at Godrej Park World, Hinjewadi, Pune","₹ 1.34 Cr","1082 sqft","https://www.magicbricks.com/the-aqua-retreat-at-godrej-park-world-hinjewadi-pune-pdpid-4d4235343333333631"
"3 BHK Apartment for Sale in The Greenfront at Godrej Park World, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹ 1.49 Cr","1198 sqft","https://www.magicbricks.com/the-greenfront-at-godrej-park-world-hinjewadi-phase-1-pune-pdpid-4d4235343331333635"
"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.62 Cr","1088 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"2 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.38 Cr","997 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.38 Cr","1088 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"3 BHK Apartment for Sale in VTP MONARQUE, Hinjawadi Pune","₹ 1.70 Cr","1490 sqft","https://www.magicbricks.com/vtp-monarque-hinjewadi-pune-pdpid-4d4235343235323137"
"3 BHK Apartment for Sale in Legend Aaradhyam, Maan Pune","₹ 91.4 Lac","1041 sqft","https://www.magicbricks.com/legend-aaradhyam-maan-pune-pdpid-4d4235343333323833"
"2 BHK Apartment for Sale in Legend Aaradhyam, Maan Pune","₹ 87.9 Lac","1001 sqft","https://www.magicbricks.com/legend-aaradhyam-maan-pune-pdpid-4d4235343333323833"
"3 BHK Apartment for Sale in The Gale at Godrej Park World, Hinjawadi Pune","₹ 1.74 Cr","1404 sqft","https://www.magicbricks.com/the-gale-at-godrej-park-world-hinjewadi-pune-pdpid-4d4235343139323231"
"3 BHK Apartment for Sale in Kasturi Eon Homes, Hinjawadi Pune","₹ 1.27 Cr","973 sqft","https://www.magicbricks.com/kasturi-eon-homes-hinjewadi-pune-pdpid-4d4235303231333036"
"3 BHK Apartment for Sale in Pride Park Titan, Marunji, Hinjawadi Pune","₹ 1.32 Cr","1060 sqft","https://www.magicbricks.com/pride-park-titan-marunji-pune-pdpid-4d4235333235333539"
"3 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune","₹ 1.04 Cr","1045 sqft","https://www.magicbricks.com/ashiana-malhar-hinjewadi-pune-pdpid-4d4235333334343239"
"3 BHK Apartment for Sale in Ceratec West Winds, Maan Pune","₹ 89.7 Lac","989 sqft","https://www.magicbricks.com/ceratec-west-winds-maan-pune-pdpid-4d4235343137343633"
"2 BHK Apartment for Sale in Parth Kiona, Maan Pune","₹ 79.3 Lac","767 sqft","https://www.magicbricks.com/parth-kiona-maan-pune-pdpid-4d4235343232353537"
"3 BHK Apartment for Sale in Pride Purple Park Titan, Hinjawadi Pune","₹ 1.41 Cr","1212 sqft","https://www.magicbricks.com/pride-purple-park-titan-hinjewadi-pune-pdpid-4d4235333435393439"
"3 BHK Apartment for Sale in The Greenfront at Godrej Park World, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹ 1.62 Cr","1200 sqft","https://www.magicbricks.com/the-greenfront-at-godrej-park-world-hinjewadi-phase-1-pune-pdpid-4d4235343331333635"
"2 BHK Apartment for Sale in The Greenfront at Godrej Park World, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹ 1.28 Cr","944 sqft","https://www.magicbricks.com/the-greenfront-at-godrej-park-world-hinjewadi-phase-1-pune-pdpid-4d4235343331333635"
"3 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune","₹ 1.12 Cr","1045 sqft","https://www.magicbricks.com/ashiana-malhar-hinjewadi-pune-pdpid-4d4235333334343239"
